dataset,task,model,num_classes,num_samples,num_folds,params_M,accuracy_mean,accuracy_std,precision_mean,recall_mean,specificity_mean,f1_mean,f1_std,elapsed_minutes
combined,binary,A2SDNet121,2,4966,3,6.866,0.8399119926441613,0.009844723747714676,0.8879510549115311,0.8515751776621342,0.8204301075268817,0.8693242791645216,0.008423858712727,42.1
combined,binary,SwinAD2Net_ASPP_like_SwinResidual,2,4966,3,2.223,0.9691917091135535,0.004924430394256744,0.9764540426220633,0.9742456742456742,0.9607526881720428,0.9753423378745004,0.003954376675545998,30.5
herlev,binary,A2SDNet121,2,917,3,6.866,0.7404585878067075,0.00401961466207608,0.7404006728211074,0.997037037037037,0.024794238683127568,0.8497545101316518,0.001753042850085055,4.5
herlev,binary,SwinAD2Net_ASPP_like_SwinResidual,2,917,3,2.223,0.8757027036679882,0.013960576511220688,0.8686093673305949,0.9792592592592593,0.5869341563786008,0.9206183170618317,0.008986230488181186,4.7
herlev,multiclass,A2SDNet121,7,917,3,6.872,0.32825100896460585,0.00592335665550312,0.2454094386756347,0.24830496006725514,0.8800374091099723,0.1865314106224973,0.03839362209602571,7.3
herlev,multiclass,SwinAD2Net_ASPP_like_SwinResidual,7,917,3,2.223,0.6477695631986856,0.041491203017013444,0.6865986768639393,0.6752448994684475,0.939170950962791,0.676246439503546,0.03935798826576624,7.3
sipakmed,binary,A2SDNet121,2,4049,3,6.866,0.8893603858367882,0.014285150201188632,0.9504732020507832,0.8605602999903589,0.9326404635928446,0.903143511376537,0.013412340646110391,51.0
sipakmed,binary,SwinAD2Net_ASPP_like_SwinResidual,2,4049,3,2.223,0.9874050279585243,0.0036770141503978497,0.9901115174631512,0.9888919334459819,0.9851680065965779,0.9894965603227709,0.003097277426442614,25.2
sipakmed,multiclass,A2SDNet121,5,4049,3,6.87,0.7619165545580172,0.005141718673187655,0.7754657522210864,0.7629014195574696,0.9405449190908319,0.7624433183429611,0.004935793818855156,50.3
sipakmed,multiclass,SwinAD2Net_ASPP_like_SwinResidual,5,4049,3,2.223,0.9577658805333625,0.005181171095750068,0.9581209840027957,0.9579559603204167,0.9894307964218833,0.9578618675264892,0.005179120131357421,25.3
